value,type,id,key
stop,regular,110416077,highway
turning_circle,regular,110416199,highway
Yahoo,regular,110416199,source
motorway_junction,regular,110416662,highway
2A,regular,110416662,ref
http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/fiveeightyeast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/fiveeightywest.pdf,regular,110416662,source
turning_circle,regular,110417217,highway
traffic_signals,regular,110417574,highway
USGS Large Scale Imagery,regular,110417574,source
turning_circle,regular,110417641,highway
level_crossing,regular,110419256,railway
public,regular,110419404,access
yes,regular,110419404,barrier
yes,regular,110419404,bicycle
yes,regular,110419404,foot
yes,regular,110419464,bicycle
no,crossing,110419464,barrier
yes,regular,110419464,foot
crossing,regular,110419464,railway
USGS Large Scale Imagery,regular,110419464,source
turning_circle,regular,110420156,highway
traffic_signals,regular,110420626,highway
signal,regular,110420626,traffic_signals
traffic_signals,regular,110421010,highway
stop,regular,110421309,highway
USGS Large Scale Imagery,regular,110421309,source
all,regular,110421309,stop
turning_circle,regular,110424538,highway
turning_circle,regular,110426256,highway
turning_circle,regular,110429427,highway
uncontrolled,regular,110431431,crossing
crossing,regular,110431431,highway
USGS Large Scale Imagery,regular,110431431,source
yes,regular,110436396,noexit
USGS Large Scale Imagery,regular,110436396,source
turning_circle,regular,110438839,highway
Yahoo,regular,110438839,source
turning_circle,regular,110439012,highway
traffic_signals,regular,110441035,highway
signal,regular,110441035,traffic_signals
USGS Large Scale Imagery,regular,110441132,source
bump,regular,110441132,traffic_calming
turning_circle,regular,110441248,highway
turning_circle,regular,110441556,highway
turning_circle,regular,110442806,highway
turning_circle,regular,110443353,highway
turning_circle,regular,110443499,highway
turning_circle,regular,110443846,highway
turning_circle,regular,110443885,highway
turning_circle,regular,110444002,highway
turning_circle,regular,110444476,highway
turning_circle,regular,110446927,highway
turning_circle,regular,110448605,highway
turning_circle,regular,110449423,highway
turning_circle,regular,110450430,highway
turning_circle,regular,110450517,highway
Bing,regular,110450517,source
turning_circle,regular,110450687,highway
stop,regular,110453498,highway
traffic_signals,regular,110454692,highway
signal,regular,110454692,traffic_signals
turning_circle,regular,110454859,highway
turning_circle,regular,110455245,highway
turning_circle,regular,110455499,highway
turning_circle,regular,110458234,highway
crossing,regular,110459377,highway
turning_circle,regular,110459569,highway
stop,regular,110459852,highway
turning_circle,regular,110460412,highway
motorway_junction,regular,110461589,highway
446,regular,110461589,ref
turning_circle,regular,110462245,highway
turning_circle,regular,110463035,highway
Bing,regular,110463035,source
turning_circle,regular,110463845,highway
JOSM,regular,126854403,created_by
45,regular,150932844,ele
Populated Place,gnis,150932844,Class
Marin,gnis,150932844,County
041,gnis,150932844,County_num
CA,gnis,150932844,ST_alpha
06,gnis,150932844,ST_num
1658828,gnis,150932844,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150932844,import_uuid
"Marin,California,Calif.,CA,USA",regular,150932844,is_in
Inverness Park,regular,150932844,name
hamlet,regular,150932844,place
Q6060260,regular,150932844,wikidata
32,regular,150936322,ele
Populated Place,gnis,150936322,Class
Sonoma,gnis,150936322,County
097,gnis,150936322,County_num
CA,gnis,150936322,ST_alpha
06,gnis,150936322,ST_num
1658162,gnis,150936322,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150936322,import_uuid
"Sonoma,California,Calif.,CA,USA",regular,150936322,is_in
Buena Vista,regular,150936322,name
hamlet,regular,150936322,place
12,regular,150938552,ele
Populated Place,gnis,150938552,Class
Marin,gnis,150938552,County
041,gnis,150938552,County_num
CA,gnis,150938552,ST_alpha
06,gnis,150938552,ST_num
1659413,gnis,150938552,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150938552,import_uuid
"Marin,California,Calif.,CA,USA",regular,150938552,is_in
Point Reyes Station,regular,150938552,name
hamlet,regular,150938552,place
Q2088643,regular,150938552,wikidata
17,regular,150940913,ele
Populated Place,gnis,150940913,Class
Sonoma,gnis,150940913,County
097,gnis,150940913,County_num
CA,gnis,150940913,ST_alpha
06,gnis,150940913,ST_num
1658081,gnis,150940913,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150940913,import_uuid
"Sonoma,California,Calif.,CA,USA",regular,150940913,is_in
Bloomfield,regular,150940913,name
hamlet,regular,150940913,place
Q4928216,regular,150940913,wikidata
"en:Bloomfield, California",regular,150940913,wikipedia
restaurant,regular,150944832,amenity
seafood,regular,150944832,cuisine
2,regular,150944832,ele
Populated Place,gnis,150944832,Class
Marin,gnis,150944832,County
041,gnis,150944832,County_num
CA,gnis,150944832,ST_alpha
06,gnis,150944832,ST_num
252749,gnis,150944832,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150944832,import_uuid
"Marin,California,Calif.,CA,USA",regular,150944832,is_in
Nick's Cove,regular,150944832,name
Oister Restaurant,regular,150944832,note
7120;2006,census,150949805,population
35,regular,150949805,ele
Populated Place,gnis,150949805,Class
Marin,gnis,150949805,County
041,gnis,150949805,County_num
CA,gnis,150949805,ST_alpha
06,gnis,150949805,ST_num
277511,gnis,150949805,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150949805,import_uuid
"Marin,California,Calif.,CA,USA",regular,150949805,is_in
Fairfax,regular,150949805,name
village,regular,150949805,place
7120,regular,150949805,population
48,regular,150953857,ele
Populated Place,gnis,150953857,Class
Marin,gnis,150953857,County
041,gnis,150953857,County_num
CA,gnis,150953857,ST_alpha
06,gnis,150953857,ST_num
1659045,gnis,150953857,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150953857,import_uuid
"Marin,California,Calif.,CA,USA",regular,150953857,is_in
Manor,regular,150953857,name
hamlet,regular,150953857,place
Q6751298,regular,150953857,wikidata
4,regular,150958307,ele
Populated Place,gnis,150958307,Class
Marin,gnis,150958307,County
041,gnis,150958307,County_num
CA,gnis,150958307,ST_alpha
06,gnis,150958307,ST_num
1658365,gnis,150958307,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150958307,import_uuid
"Marin,California,Calif.,CA,USA",regular,150958307,is_in
Cypress Grove,regular,150958307,name
hamlet,regular,150958307,place
Q5200334,regular,150958307,wikidata
Potlatch 0.10f,regular,150960330,created_by
8,regular,150960330,ele
Populated Place,gnis,150960330,Class
Marin,gnis,150960330,County
041,gnis,150960330,County_num
CA,gnis,150960330,ST_alpha
06,gnis,150960330,ST_num
235489,gnis,150960330,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150960330,import_uuid
"Marin,California,Calif.,CA,USA",regular,150960330,is_in
Stinson Beach,regular,150960330,name
hamlet,regular,150960330,place
Q594225,regular,150960330,wikidata
3,regular,150964594,ele
Populated Place,gnis,150964594,Class
Sonoma,gnis,150964594,County
097,gnis,150964594,County_num
CA,gnis,150964594,ST_alpha
06,gnis,150964594,ST_num
1658935,gnis,150964594,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150964594,import_uuid
"Sonoma,California,Calif.,CA,USA",regular,150964594,is_in
Lakeville,regular,150964594,name
hamlet,regular,150964594,place
Q6479295,regular,150964594,wikidata
"en:Lakeville, California",regular,150964594,wikipedia
89,regular,150968646,ele
Populated Place,gnis,150968646,Class
Marin,gnis,150968646,County
041,gnis,150968646,County_num
CA,gnis,150968646,ST_alpha
06,gnis,150968646,ST_num
232399,gnis,150968646,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150968646,import_uuid
"Marin,California,Calif.,CA,USA",regular,150968646,is_in
San Geronimo,regular,150968646,name
hamlet,regular,150968646,place
5,regular,150973343,ele
Populated Place,gnis,150973343,Class
Sonoma,gnis,150973343,County
097,gnis,150973343,County_num
CA,gnis,150973343,ST_alpha
06,gnis,150973343,ST_num
252790,gnis,150973343,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150973343,import_uuid
"Sonoma,California,Calif.,CA,USA",regular,150973343,is_in
Sears Point,regular,150973343,name
hamlet,regular,150973343,place
23,regular,150976472,ele
Populated Place,gnis,150976472,Class
Marin,gnis,150976472,County
041,gnis,150976472,County_num
CA,gnis,150976472,ST_alpha
06,gnis,150976472,ST_num
1808982,gnis,150976472,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150976472,import_uuid
"Marin,California,Calif.,CA,USA",regular,150976472,is_in
Little Reed Heights,regular,150976472,name
hamlet,regular,150976472,place
Q6651543,regular,150976472,wikidata
33,regular,150981827,ele
Populated Place,gnis,150981827,Class
Sonoma,gnis,150981827,County
097,gnis,150981827,County_num
CA,gnis,150981827,ST_alpha
06,gnis,150981827,ST_num
277505,gnis,150981827,id
bb7269ee-502a-5391-8056-e3ce0e66489c,regular,150981827,import_uuid
"Sonoma,California,Calif.,CA,USA",regular,150981827,is_in
El Verano,regular,150981827,name
hamlet,regular,150981827,place
JOSM,regular,163015741,created_by
JOSM,regular,163015890,created_by
JOSM,regular,163016069,created_by
JOSM,regular,167024251,created_by
JOSM,regular,167024345,created_by
JOSM,regular,167024422,created_by
JOSM,regular,167030251,created_by
JOSM,regular,167030349,created_by
JOSM,regular,167033341,created_by
JOSM,regular,167039553,created_by
JOSM,regular,167039650,created_by
JOSM,regular,167039759,created_by
JOSM,regular,167050600,created_by
JOSM,regular,167050712,created_by
JOSM,regular,167050921,created_by
JOSM,regular,167051177,created_by
JOSM,regular,167051309,created_by
JOSM,regular,167051442,created_by
JOSM,regular,167051549,created_by
JOSM,regular,167067218,created_by
JOSM,regular,167067570,created_by
JOSM,regular,167067692,created_by
JOSM,regular,167068300,created_by
JOSM,regular,167068665,created_by
JOSM,regular,167069233,created_by
JOSM,regular,167078234,created_by
JOSM,regular,167078358,created_by
JOSM,regular,167113704,created_by
JOSM,regular,167113823,created_by
JOSM,regular,167113917,created_by
JOSM,regular,167114022,created_by
JOSM,regular,167114097,created_by
JOSM,regular,167114183,created_by
JOSM,regular,167114275,created_by
JOSM,regular,167114369,created_by
JOSM,regular,167114468,created_by
JOSM,regular,167114561,created_by
JOSM,regular,167114660,created_by
JOSM,regular,167114759,created_by
JOSM,regular,167114827,created_by
JOSM,regular,167114972,created_by
JOSM,regular,167115074,created_by
JOSM,regular,167115163,created_by
JOSM,regular,167115289,created_by
JOSM,regular,167115387,created_by
JOSM,regular,167115495,created_by
JOSM,regular,167115582,created_by
JOSM,regular,167115663,created_by
JOSM,regular,167115738,created_by
JOSM,regular,167115814,created_by
JOSM,regular,167115879,created_by
JOSM,regular,167115975,created_by
JOSM,regular,167116105,created_by
JOSM,regular,167116224,created_by
JOSM,regular,167116416,created_by
JOSM,regular,167116514,created_by
JOSM,regular,167138853,created_by
JOSM,regular,167138949,created_by
JOSM,regular,167139683,created_by
JOSM,regular,167139774,created_by
JOSM,regular,167139900,created_by
JOSM,regular,167140025,created_by
JOSM,regular,167140181,created_by
JOSM,regular,167140294,created_by
JOSM,regular,167140413,created_by
JOSM,regular,167140488,created_by
JOSM,regular,167140593,created_by
JOSM,regular,167140880,created_by
JOSM,regular,167147458,created_by
JOSM,regular,167151513,created_by
JOSM,regular,167151647,created_by
JOSM,regular,167151775,created_by
JOSM,regular,167163433,created_by
JOSM,regular,167163580,created_by
JOSM,regular,167163884,created_by
JOSM,regular,167164033,created_by
JOSM,regular,167164260,created_by
motorway_junction,regular,257669902,highway
yes,regular,257669902,noref
motorway_junction,regular,257876376,highway
454B,regular,257876376,ref
turning_circle,regular,258631304,highway
traffic_signals,regular,259546408,highway
JOSM,regular,261758519,created_by
JOSM,regular,263620280,created_by
JOSM,regular,263645164,created_by
JOSM,regular,263645174,created_by
motorway_junction,regular,263664101,highway
yes,regular,263664101,noref
http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/fiveeightyeast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/fiveeightywest.pdf,regular,263664101,source
JOSM,regular,263673606,created_by
JOSM,regular,264198675,created_by
JOSM,regular,264198718,created_by
JOSM,regular,267988656,created_by
JOSM,regular,267988749,created_by
JOSM,regular,267988827,created_by
JOSM,regular,267988855,created_by
JOSM,regular,267988870,created_by
JOSM,regular,267988880,created_by
JOSM,regular,267988892,created_by
JOSM,regular,267988919,created_by
JOSM,regular,267989840,created_by
JOSM,regular,270661444,created_by
JOSM,regular,270661462,created_by
JOSM,regular,270661485,created_by
JOSM,regular,270661503,created_by
JOSM,regular,270661718,created_by
JOSM,regular,270661746,created_by
traffic_signals,regular,270661892,highway
JOSM,regular,272108179,created_by
JOSM,regular,272139878,created_by
JOSM,regular,272139950,created_by
JOSM,regular,272139968,created_by
JOSM,regular,272140130,created_by
JOSM,regular,272140241,created_by
JOSM,regular,272140271,created_by
JOSM,regular,272140308,created_by
JOSM,regular,272140327,created_by
JOSM,regular,272140337,created_by
JOSM,regular,272140367,created_by
JOSM,regular,272140403,created_by
JOSM,regular,272140435,created_by
JOSM,regular,272140470,created_by
JOSM,regular,272140540,created_by
JOSM,regular,272140573,created_by
JOSM,regular,272140606,created_by
JOSM,regular,272140638,created_by
JOSM,regular,272140672,created_by
JOSM,regular,272140702,created_by
JOSM,regular,272140745,created_by
JOSM,regular,272140779,created_by
JOSM,regular,272140811,created_by
JOSM,regular,272140847,created_by
JOSM,regular,272140875,created_by
JOSM,regular,272140898,created_by
JOSM,regular,272140932,created_by
JOSM,regular,272140966,created_by
JOSM,regular,272140986,created_by
JOSM,regular,272141051,created_by
JOSM,regular,272141083,created_by
JOSM,regular,272141265,created_by
JOSM,regular,272145500,created_by
JOSM,regular,272145514,created_by
JOSM,regular,272148956,created_by
JOSM,regular,272148972,created_by
JOSM,regular,272149025,created_by
JOSM,regular,272159654,created_by
JOSM,regular,272166055,created_by
JOSM,regular,279229979,created_by
JOSM,regular,281555573,created_by
JOSM,regular,281555585,created_by
JOSM,regular,281555602,created_by
motorway_junction,regular,295508051,highway
442,regular,295508051,ref
China Camp Point,regular,306634729,name
picnic_site,regular,306634729,tourism
turning_circle,regular,313615221,highway
whale watch point,regular,317845877,name
viewpoint,regular,317845877,tourism
stop,regular,318284551,highway
USGS Large Scale Imagery,regular,318284551,source
turning_circle,regular,318285829,highway
Yahoo,regular,318285829,source
forward,regular,318565839,direction
stop,regular,318565839,highway
USGS Large Scale Imagery,regular,318565839,source
bus_stop,regular,318856485,highway
yes,regular,318856485,shelter
tower,regular,320398002,power
tower,regular,320398095,power
tower,regular,320398115,power
traffic_signals,regular,345570335,crossing
crossing,regular,345570335,highway
USGS Large Scale Imagery,regular,345570335,source
yes,regular,345571126,bicycle
uncontrolled,regular,345571126,crossing
crossing,regular,345571126,highway
Bing,regular,345571126,source
motorway_junction,regular,345571592,highway
459A,regular,345571592,ref
stop,regular,345571645,highway
pole,regular,345571814,power
USGS Large Scale Imagery,regular,345571814,source
yes,regular,345571896,bicycle
uncontrolled,regular,345571896,crossing
crossing,regular,345571896,highway
USGS Large Scale Imagery,regular,345571896,source
traffic_signals,regular,347276923,highway
turning_circle,regular,349676620,highway
yes,regular,349677507,bicycle
traffic_signals,regular,349677507,crossing
crossing,regular,349677507,highway
USGS Large Scale Imagery,regular,349677507,source
traffic_signals,regular,349878059,highway
signal,regular,349878059,traffic_signals
traffic_signals,regular,349879087,highway
signal,regular,349879087,traffic_signals
traffic_signals,regular,349879185,highway
signal,regular,349879185,traffic_signals
traffic_signals,regular,349879462,highway
signal,regular,349879462,traffic_signals
Bing/TIGER 2012,regular,349907811,source
level_crossing,regular,349910670,railway
gate,regular,351900235,barrier
197,regular,358760844,ele
041,gnis,358760844,county_id
01/19/1981,gnis,358760844,created
218165,gnis,358760844,feature_id
06,gnis,358760844,state_id
Alpine Dam,regular,358760844,name
dam,regular,358760844,waterway
Q35695464,regular,358760844,wikidata
13,regular,358761955,ele
041,gnis,358761955,county_id
01/19/1981,gnis,358761955,created
219312,gnis,358761955,feature_id
06,gnis,358761955,state_id
Bird Island,regular,358761955,name
island,regular,358761955,place
Q2904412,regular,358761955,wikidata
114,regular,358763165,ele
041,gnis,358763165,county_id
01/19/1981,gnis,358763165,created
220664,gnis,358763165,feature_id
06,gnis,358763165,state_id
Cascade Dam,regular,358763165,name
dam,regular,358763165,waterway
Q35698230,regular,358763165,wikidata
2,regular,358764955,ele
041,gnis,358764955,county_id
01/19/1981,gnis,358764955,created
222595,gnis,358764955,feature_id
06,gnis,358764955,state_id
Driftwood Beach,regular,358764955,name
beach,regular,358764955,natural
276,regular,358767128,ele
041,gnis,358767128,county_id
01/19/1981,gnis,358767128,created
224855,gnis,358767128,feature_id
06,gnis,358767128,state_id
Hammock Hill,regular,358767128,name
peak,regular,358767128,natural
school,regular,358768574,amenity
29,regular,358768574,ele
041,gnis,358768574,county_id
01/19/1981,gnis,358768574,created
226433,gnis,358768574,feature_id
06,gnis,358768574,state_id
Katharine Branson School,regular,358768574,name
611,regular,358771283,ele
041,gnis,358771283,county_id
01/19/1981,gnis,358771283,created
229166,gnis,358771283,feature_id
06,gnis,358771283,state_id
park,regular,358771283,leisure
Mount Tamalpais Game Refuge,regular,358771283,name
school,regular,358771799,amenity
14,regular,358771799,ele
041,gnis,358771799,county_id
01/19/1981,gnis,358771799,created
229804,gnis,358771799,feature_id
06,gnis,358771799,state_id
Novato High School,regular,358771799,name
Q7064492,regular,358771799,wikidata
en:Novato High School,regular,358771799,wikipedia
school,regular,358773217,amenity
6,regular,358773217,ele
041,gnis,358773217,county_id
01/19/1981,gnis,358773217,created
231231,gnis,358773217,feature_id
06,gnis,358773217,state_id
Rancho School,regular,358773217,name
school,regular,358774526,amenity
6,regular,358774526,ele
041,gnis,358774526,county_id
01/19/1981,gnis,358774526,created
232383,gnis,358774526,feature_id
06,gnis,358774526,state_id
San Clemente School,regular,358774526,name
27,regular,358775299,ele
041,gnis,358775299,county_id
01/19/1981,gnis,358775299,created
233122,gnis,358775299,feature_id
06,gnis,358775299,state_id
Silva Island,regular,358775299,name
island,regular,358775299,place
school,regular,358776808,amenity
37,regular,358776808,ele
041,gnis,358776808,county_id
06/14/2000,gnis,358776808,created
235774,gnis,358776808,feature_id
06,gnis,358776808,state_id
Sun Valley Elementary School,regular,358776808,name
school,regular,358777643,amenity
25,regular,358777643,ele
097,gnis,358777643,county_id
01/19/1981,gnis,358777643,created
236733,gnis,358777643,feature_id
06,gnis,358777643,state_id
Two Rock School,regular,358777643,name
school,regular,358778570,amenity
12,regular,358778570,ele
041,gnis,358778570,county_id
01/19/1981,gnis,358778570,created
237457,gnis,358778570,feature_id
06,gnis,358778570,state_id
West End School,regular,358778570,name
0,regular,358795144,ele
041,gnis,358795144,county_id
08/01/1990,gnis,358795144,created
252236,gnis,358795144,feature_id
06,gnis,358795144,state_id
Tomales Beach,regular,358795144,name
beach,regular,358795144,natural
62,regular,358806147,ele
041,gnis,358806147,county_id
01/19/1981,gnis,358806147,created
1658104,gnis,358806147,feature_id
06,gnis,358806147,state_id
Bon Air Hill,regular,358806147,name
peak,regular,358806147,natural
54,regular,358807039,ele
041,gnis,358807039,county_id
01/19/1981,gnis,358807039,created
1659336,gnis,358807039,feature_id
06,gnis,358807039,state_id
Palm Hill,regular,358807039,name
peak,regular,358807039,natural
8,regular,358810851,ele
041,gnis,358810851,county_id
07/01/1994,gnis,358810851,created
1663072,gnis,358810851,feature_id
06,gnis,358810851,state_id
tower,regular,358810851,man_made
KSRH-FM (San Rafael),regular,358810851,name
604,regular,358813353,ele
097,gnis,358813353,county_id
07/01/1994,gnis,358813353,created
1664319,gnis,358813353,feature_id
06,gnis,358813353,state_id
Lowrey Number 1 1424 Dam,regular,358813353,name
dam,regular,358813353,waterway
25,regular,358814142,ele
041,gnis,358814142,county_id
07/01/1994,gnis,358814142,created
1664782,gnis,358814142,feature_id
06,gnis,358814142,state_id
Home Ranch Dam,regular,358814142,name
dam,regular,358814142,waterway
Q35704123,regular,358814142,wikidata
1,regular,358814338,ele
041,gnis,358814338,county_id
07/01/1994,gnis,358814338,created
1664955,gnis,358814338,feature_id
06,gnis,358814338,state_id
tower,regular,358814338,man_made
KCBS-AM (San Francisco),regular,358814338,name
Q6326585,regular,358814338,wikidata
en:KCBS (AM),regular,358814338,wikipedia
school,regular,358820283,amenity
34,regular,358820283,ele
097,gnis,358820283,county_id
11/22/1996,gnis,358820283,created
1701273,gnis,358820283,feature_id
06,gnis,358820283,state_id
Liberty Elementary School,regular,358820283,name
place_of_worship,regular,358820334,amenity
episcopal,regular,358820334,denomination
20,regular,358820334,ele
041,gnis,358820334,county_id
11/22/1996,gnis,358820334,created
1701328,gnis,358820334,feature_id
06,gnis,358820334,state_id
Saint Stephens Episcopal Church,regular,358820334,name
christian,regular,358820334,religion
place_of_worship,regular,358822513,amenity
9,regular,358822513,ele
097,gnis,358822513,county_id
12/02/1996,gnis,358822513,created
1702915,gnis,358822513,feature_id
06,gnis,358822513,state_id
Saint Johns Episcopal Church,regular,358822513,name
christian,regular,358822513,religion
school,regular,358826116,amenity
106,regular,358826116,ele
041,gnis,358826116,county_id
05/14/1997,gnis,358826116,created
1732474,gnis,358826116,feature_id
06,gnis,358826116,state_id
Halleck School (historical),regular,358826116,name
school,regular,358831621,amenity
21,regular,358831621,ele
097,gnis,358831621,county_id
07/20/1998,gnis,358831621,created
1799602,gnis,358831621,feature_id
06,gnis,358831621,state_id
Bloomfield School,regular,358831621,name
grave_yard,regular,358831683,amenity
30,regular,358831683,ele
097,gnis,358831683,county_id
07/20/1998,gnis,358831683,created
1799666,gnis,358831683,feature_id
06,gnis,358831683,state_id
Saint Francis Solano Catholic Cemetery,regular,358831683,name
post_office,regular,358831713,amenity
41,regular,358831713,ele
097,gnis,358831713,county_id
07/20/1998,gnis,358831713,created
1799725,gnis,358831713,feature_id
06,gnis,358831713,state_id
Boyes Hot Springs Post Office,regular,358831713,name
35,regular,358831733,ele
097,gnis,358831733,county_id
07/20/1998,gnis,358831733,created
1799750,gnis,358831733,feature_id
06,gnis,358831733,state_id
park,regular,358831733,leisure
Tetter Field,regular,358831733,name
hospital,regular,358831768,amenity
15,regular,358831768,ele
097,gnis,358831768,county_id
07/20/1998,gnis,358831768,created
1799797,gnis,358831768,feature_id
06,gnis,358831768,state_id
Hillside Hospital (historical),regular,358831768,name
place_of_worship,regular,358831822,amenity
lutheran,regular,358831822,denomination
9,regular,358831822,ele
097,gnis,358831822,county_id
07/20/1998,gnis,358831822,created
1799869,gnis,358831822,feature_id
06,gnis,358831822,state_id
Saint Johns Lutheran Church,regular,358831822,name
christian,regular,358831822,religion
place_of_worship,regular,358832425,amenity
baptist,regular,358832425,denomination
16,regular,358832425,ele
041,gnis,358832425,county_id
07/20/1998,gnis,358832425,created
1800440,gnis,358832425,feature_id
06,gnis,358832425,state_id
First Baptist Church,regular,358832425,name
christian,regular,358832425,religion
place_of_worship,regular,358832455,amenity
orthodox,regular,358832455,denomination
18,regular,358832455,ele
041,gnis,358832455,county_id
07/20/1998,gnis,358832455,created
1800458,gnis,358832455,feature_id
06,gnis,358832455,state_id
Saint Nicholas Orthodox Church,regular,358832455,name
christian,regular,358832455,religion
place_of_worship,regular,358832490,amenity
lutheran,regular,358832490,denomination
13,regular,358832490,ele
041,gnis,358832490,county_id
07/20/1998,gnis,358832490,created
1800471,gnis,358832490,feature_id
06,gnis,358832490,state_id
Trinity Lutheran Church,regular,358832490,name
christian,regular,358832490,religion
81,regular,358832517,ele
041,gnis,358832517,county_id
07/20/1998,gnis,358832517,created
1800488,gnis,358832517,feature_id
06,gnis,358832517,state_id
park,regular,358832517,leisure
Cascade Park,regular,358832517,name
school,regular,358832548,amenity
15,regular,358832548,ele
041,gnis,358832548,county_id
07/20/1998,gnis,358832548,created
01/04/2008,gnis,358832548,edited
1800500,gnis,358832548,feature_id
06,gnis,358832548,state_id
Golden Gate Baptist Theological Seminary - Northern California Campus,regular,358832548,name
school,regular,358832579,amenity
28,regular,358832579,ele
041,gnis,358832579,county_id
07/20/1998,gnis,358832579,created
1800526,gnis,358832579,feature_id
06,gnis,358832579,state_id
Greenwood School,regular,358832579,name
24,regular,358832608,ele
041,gnis,358832608,county_id
07/20/1998,gnis,358832608,created
1800553,gnis,358832608,feature_id
06,gnis,358832608,state_id
park,regular,358832608,leisure
Isabel Cook Recreation Center,regular,358832608,name
school,regular,358832628,amenity
23,regular,358832628,ele
041,gnis,358832628,county_id
07/20/1998,gnis,358832628,created
